PLAYER,TEAM,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG
K Wood,CHC,14,11,3.20,32,32,4,2,0,0,211.0,152,77,75,24,21,100,266,1.19,.203
M Prior,CHC,18,6,2.43,30,30,3,1,0,0,211.1,183,67,57,15,9,50,245,1.10,.231
J Vazquez,MON,13,12,3.24,34,34,4,1,0,0,230.2,198,93,83,28,4,57,241,1.11,.229
J Schmidt,SF,17,5,2.34,29,29,5,3,0,0,207.2,152,56,54,14,5,46,208,0.95,.200
E Loaiza,CWS,21,9,2.90,34,34,1,0,0,0,226.1,196,75,73,17,10,56,207,1.11,.233
P Martinez,BOS,14,4,2.22,29,29,3,0,0,0,186.2,147,52,46,7,9,47,206,1.04,.215
R Halladay,TOR,22,7,3.25,36,36,9,2,0,0,266.0,253,111,96,26,9,32,204,1.07,.247
M Mussina,NYY,17,8,3.40,31,31,2,1,0,0,214.2,192,86,81,21,3,40,195,1.08,.238
C Schilling,AZ,8,9,2.95,24,24,3,2,0,0,168.0,144,58,55,17,3,32,194,1.05,.230
R Clemens,NYY,17,9,3.91,33,33,1,1,0,0,211.2,199,99,92,24,5,58,190,1.21,.247
K Brown,LA,14,9,2.39,32,32,0,0,0,0,211.0,184,67,56,11,5,56,185,1.14,.236
A Pettitte,NYY,21,8,4.02,33,33,1,0,0,0,208.1,227,109,93,21,1,50,180,1.33,.272
L Hernandez,MON,15,10,3.20,33,33,8,0,0,0,233.1,225,92,83,27,10,57,178,1.21,.253
H Nomo,LA,16,13,3.09,33,33,2,2,0,0,218.1,175,82,75,24,1,98,177,1.25,.223
R Wolf,PHI,16,10,4.23,33,33,2,2,0,0,200.0,176,101,94,27,6,78,177,1.27,.233
B Colon,CWS,15,13,3.87,34,34,9,0,0,0,242.0,223,107,104,30,5,67,173,1.20,.248
B Webb,AZ,10,9,2.84,29,28,1,1,0,0,180.2,140,65,57,12,13,68,172,1.15,.212
M Clement,CHC,14,12,4.11,32,32,2,1,0,0,201.2,169,100,92,22,14,79,171,1.23,.227
K Millwood,PHI,14,12,4.01,35,35,5,3,0,0,222.0,210,103,99,19,4,68,169,1.25,.250
J Santana,MIN,12,3,3.07,45,18,0,0,0,0,158.1,127,56,54,17,3,47,169,1.10,.216
T Wakefield,BOS,11,7,4.09,35,33,0,0,1,1,202.1,193,106,92,23,12,71,169,1.30,.246
C Zambrano,CHC,13,11,3.11,32,32,3,1,0,0,214.0,188,88,74,9,10,94,168,1.32,.239
T Hudson,OAK,16,7,2.70,34,34,3,2,0,0,240.0,197,84,72,15,10,61,162,1.08,.223
W Miller,HOU,14,13,4.13,33,33,1,0,0,0,187.1,168,96,86,17,10,77,161,1.31,.242
K Escobar,TOR,13,9,4.29,41,26,1,1,4,5,180.1,189,94,86,15,9,78,159,1.48,.270
